id,skill,expected_content,question,text,category,follow_up_answer,answer,confidence,created_at,interview_id,candidate_id,action
2386,"AI Basics","Training data is essential in machine learning as it is used to teach the model and enable it to make predictions or decisions.","What is the significance of training data in machine learning?","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 16:05:52",201,1113,NULL
2387,"AI Basics","Training data is essential in machine learning as it is used to teach the model and enable it to make predictions or decisions.","What is the significance of training data in machine learning?","Okay. Uh, then I will answer the question, um, raining de-",answer,NULL,"Okay. Uh, then I will answer the question, um, raining de-",0.85,"2025-05-30 16:06:10",201,1113,NULL
2388,"OOP Basic","To instantiate a class means to create an object from that class.","What does it mean to instantiate a class?","Then I will answer this question. I need two more explanation. ",explanation,NULL,"I need two more explanation.",0.85,"2025-05-30 16:06:48",201,1113,NULL
2389,"OOP Basic","To instantiate a class means to create an object from that class.","What does it mean to instantiate a class?","To int- initiate a class means to create an object from that class. Uh, a class is like a blueprint. In- instantiation is the process of building a specific object.",answer,NULL,"To int- initiate a class means to create an object from that class. Uh, a class is like a blueprint. In- instantiation is the process of building a specific object.",0.92,"2025-05-30 16:07:27",201,1113,NULL
2390,"Data Structures & Algorithms","A priority queue is a data structure that maintains the order based on priority levels assigned to elements.","What is the role of a priority queue in algorithms?","A priority--",answer,NULL,"A priority--",0.85,"2025-05-30 16:07:48",201,1113,NULL
2391,"OOP Basic","A subclass is a class that inherits from another class, known as the superclass.","What is a subclass?","The subclass is the, uh, the subclass is the-- the subclass is the class that inherits from another class called the superclass or parent class.",answer,NULL,"The subclass is the, uh, the subclass is the-- the subclass is the class that inherits from another class called the superclass or parent class.",0.9,"2025-05-30 16:08:26",201,1113,NULL
2392,NULL,,"Can you describe a programming language you are proficient in and how you have applied it in a project?","Uh, move to next question.",next_question,NULL,"Uh, move to next question.",0.95,"2025-05-30 16:17:04",202,973,NULL
2393,NULL,,"Describe a challenging technical problem you faced in a project and the steps you took to resolve it.","Uh, move to next.",next_question,NULL,"Uh, move to next.",0.85,"2025-05-30 16:17:22",202,973,NULL
2394,NULL,,"How have you worked with a team to achieve a common goal in a previous project, and what was your role?","Move to next.",next_question,NULL,"Move to next.",0.95,"2025-05-30 16:17:42",202,973,NULL
2395,NULL,,"Tell us about a project you have worked on that you are particularly proud of and what your contributions were.","Uh, move to next.",next_question,NULL,"Uh, move to next.",0.95,"2025-05-30 16:18:01",202,973,NULL
2396,NULL,,"How has your academic background prepared you for a career in technology, and what specific skills did you gain?","Ah, move to next.",next_question,NULL,NULL,0.9,"2025-05-30 16:18:21",202,973,NULL
2397,JavaScript,"Scope refers to the visibility of variables in different parts of the code.","What does the term scope mean in JavaScript","Please repeat again.",repeat,NULL,"Please repeat again.",0.95,"2025-05-30 16:18:33",202,973,NULL
2398,JavaScript,"Scope refers to the visibility of variables in different parts of the code.","What does the term scope mean in JavaScript","Uh, please explain it.",explanation,NULL,"Uh, please explain it.",0.9,"2025-05-30 16:18:46",202,973,NULL
2399,"Programming Basics","A class is a blueprint for creating objects that encapsulates data and functions.","What is a class in programming?","Ah, please, ah, please, ah, ah, explain more. Explain more.",explanation,NULL,"Ah, please, ah, please, ah, ah, explain more. Explain more.",0.9,"2025-05-30 16:18:47",203,1113,NULL
2400,JavaScript,"Scope refers to the visibility of variables in different parts of the code.","What does the term scope mean in JavaScript","Shall we go to serve?",off_topic,NULL,"Shall we go to serve?",0.85,"2025-05-30 16:19:01",202,973,NULL
2401,"Programming Basics","A class is a blueprint for creating objects that encapsulates data and functions.","What is a class in programming?","A class is a, uh, uh, parameter in programming.",answer,NULL,"A class is a, uh, uh, parameter in programming.",0.85,"2025-05-30 16:19:15",203,1113,NULL
2402,JavaScript,"Scope refers to the visibility of variables in different parts of the code.","What does the term scope mean in JavaScript","Still waiting for your answer",off_topic,NULL,NULL,0.85,"2025-05-30 16:19:23",202,973,NULL
2403,"Programming Basics","A loop is a programming construct that repeats a block of code as long as a specified condition is true.","What is a loop in programming?","I don't know. Please move on. Next question.",next_question,NULL,"I don't know. Please move on. Next question.",0.95,"2025-05-30 16:19:35",203,1113,NULL
2404,JavaScript,"Scope refers to the visibility of variables in different parts of the code.","What does the term scope mean in JavaScript","Still waiting for your answer",off_topic,NULL,NULL,0.9,"2025-05-30 16:19:44",202,973,NULL
2405,"Programming Basics","A loop counter is a variable that keeps track of the number of times a loop has executed.","What is a loop counter?","Still waiting for your answer",off_topic,NULL,"Still waiting for your answer",0.85,"2025-05-30 16:19:49",203,1113,NULL
2406,"Programming Basics","A loop counter is a variable that keeps track of the number of times a loop has executed.","What is a loop counter?","Okay. Um, the look...",answer,NULL,"Okay. Um, the look...",0.85,"2025-05-30 16:20:12",203,1113,NULL
2407,"Programming Basics","A comment is a piece of text in the code that is not executed and is used to explain what the code does.","What is a comment in code?","The comment in code, uh, because the- ",answer,NULL,"The comment in code, uh, because the- ",0.85,"2025-05-30 16:20:24",203,1113,NULL
2408,"Programming Basics","Data types define the type of data that a variable can hold in a programming language.","Explain the concept of data types in programming.","Data, uh, type in the program, explain the concept of data types in a programming language. The comment in code that explain the concept of data types in programming, explain the concept of data ex- explain the concept of data types in programming language, explain the concept of data types in programming language.",off_topic,NULL,"Data, uh, type in the program, explain the concept of data types in a programming language. The comment in code that explain the concept of data types in programming, explain the concept of data ex- explain the concept of data types in programming language, explain the concept of data types in programming language.",0.85,"2025-05-30 16:21:24",203,1113,NULL
2409,"Programming Basics","Data types define the type of data that a variable can hold in a programming language.","Explain the concept of data types in programming.","Please give the question. Please give the question.",repeat,NULL,"Please give the question. Please give the question.",0.95,"2025-05-30 16:21:44",203,1113,NULL
2410,"Programming Basics","Data types define the type of data that a variable can hold in a programming language.","Explain the concept of data types in programming.","Wait, I will tell it. Wait a minute, I will tell. Wait a minute, I will tell. Wait a minute, I will tell. Explain the concept of data types in programming, define the kind of data a variable can hold, and how the computer interprets that data.",answer,NULL,"Explain the concept of data types in programming, define the kind of data a variable can hold, and how the computer interprets that data.",0.85,"2025-05-30 16:22:23",203,1113,NULL
2411,"Programming Basics","A parameter is a variable that is passed to a function to provide input for that function.","What is a parameter in a function?","The parameter. The parameter in a function, the parameter in the function, the parameter in the function. Wait, wait. I will tell-- The parameter in the function, uh, is named variable listed in the function's definition that accept a value when the function is called.",answer,NULL,"The parameter in a function, uh, is named variable listed in the function's definition that accept a value when the function is called.",0.95,"2025-05-30 16:23:06",203,1113,NULL
2412,JavaScript,"You can add an event listener in JavaScript using the addEventListener method on an element.","How do you add an event listener in JavaScript","Please explain it. ",explanation,NULL,"Please explain it.",0.95,"2025-05-30 16:23:09",202,973,NULL
2413,JavaScript,"You can add an event listener in JavaScript using the addEventListener method on an element.","How do you add an event listener in JavaScript","Please repeat again.",repeat,NULL,"Please repeat again.",0.95,"2025-05-30 16:23:27",202,973,NULL
2414,JavaScript,"You can add an event listener in JavaScript using the addEventListener method on an element.","How do you add an event listener in JavaScript","Please repeat.",repeat,NULL,"Please repeat.",0.95,"2025-05-30 16:23:43",202,973,NULL
2415,"Programming Basics","A keyword is a reserved word in a programming language that has a special meaning.","What is a keyword in programming?","What is the keyword in programming? Uh, I will tell this answer. Wait a minute. Uh, it's a reserved word that has a special meaning in a language's syntax. Uh, they cannot use keywords as variable names, function names, or identifiers. They are used to define the structure and behavior of the program.",answer,NULL,"Uh, it's a reserved word that has a special meaning in a language's syntax. Uh, they cannot use keywords as variable names, function names, or identifiers. They are used to define the structure and behavior of the program.",0.95,"2025-05-30 16:23:54",203,1113,NULL
2416,JavaScript,"You can add an event listener in JavaScript using the addEventListener method on an element.","How do you add an event listener in JavaScript","Please repeat.",repeat,NULL,"Please repeat.",0.95,"2025-05-30 16:23:55",202,973,NULL
2417,JavaScript,"You can add an event listener in JavaScript using the addEventListener method on an element.","How do you add an event listener in JavaScript","Uh, please give the answer.",ask_answer,NULL,"please give the answer.",0.85,"2025-05-30 16:24:14",202,973,NULL
2418,"OOP Basic","Dynamic method dispatch is a process where a call to an overridden method is resolved at runtime rather than compile time.","What is a dynamic method dispatch?","Please give the answer.",ask_answer,NULL,"Please give the answer.",0.85,"2025-05-30 16:24:32",202,973,NULL
2419,"Programming Basics","A for loop is a control structure that allows you to repeat a block of code a specific number of times.","What is a for loop?","I will answer. What is the for loop? What is the for loop? What is the for loop? I will answer. What is the for loop? What is the for loop? It's a control structure used to repeat a block of code a specific number of times all over a sequence.",answer,NULL,"It's a control structure used to repeat a block of code a specific number of times all over a sequence.",0.95,"2025-05-30 16:24:36",203,1113,NULL
2420,"OOP Basic","Dynamic method dispatch is a process where a call to an overridden method is resolved at runtime rather than compile time.","What is a dynamic method dispatch?","Okay, okay.",off_topic,NULL,"Okay, okay.",0.85,"2025-05-30 16:24:53",202,973,NULL
2421,"OOP Basic","Dynamic method dispatch is a process where a call to an overridden method is resolved at runtime rather than compile time.","What is a dynamic method dispatch?","Please repeat again.",repeat,NULL,"Please repeat again.",0.95,"2025-05-30 16:25:06",202,973,NULL
2422,"Programming Basics","Syntax refers to the set of rules that defines the combinations of symbols that are considered to be correctly structured programs.","What does 'syntax' mean in programming?","The syntax mean in programming? The syntax mean in programming refers to the rules and structure that define how all must be written for the computer to understand it.",answer,NULL,"The syntax mean in programming refers to the rules and structure that define how all must be written for the computer to understand it.",0.95,"2025-05-30 16:25:17",203,1113,NULL
2423,"Programming Basics","Comments are used to add notes or explanations within the code for better understanding.","What is the significance of comments in a program?","Move on next question. Move on next question.",next_question,NULL,"Move on next question. Move on next question.",0.95,"2025-05-30 16:25:34",203,1113,NULL
2424,"OOP Basic","Dynamic method dispatch is a process where a call to an overridden method is resolved at runtime rather than compile time.","What is a dynamic method dispatch?","Dynamic method dispatch is when a program decides at runtime which method to call based on the actual type of an object, not the reference type. It's common in object-oriented languages like Java, where polymorphism lets a parent class reference point to a child class object, and the correct overridden method is called dynamically. For example, if a parent class animal has a method speak, and a child class dog overrides it, calling speak on an animal reference pointing to a dog object will invoke dog's version. It relies on the object's actual type determined during execution to resolve the method call. It's like the program figures out on the fly who's answering the call.",answer,NULL,"Dynamic method dispatch is when a program decides at runtime which method to call based on the actual type of an object, not the reference type. It's common in object-oriented languages like Java, where polymorphism lets a parent class reference point to a child class object, and the correct overridden method is called dynamically. For example, if a parent class animal has a method speak, and a child class dog overrides it, calling speak on an animal reference pointing to a dog object will invoke dog's version. It relies on the object's actual type determined during execution to resolve the method call. It's like the program figures out on the fly who's answering the call.",0.95,"2025-05-30 16:26:04",202,973,NULL
2425,"AI Basics","The Turing Test is a measure of a machine's ability to exhibit intelligent behavior equivalent to, or indistinguishable from, that of a human.","What is the significance of the Turing Test in the field of AI?","Please repeat again.",repeat,NULL,"Please repeat again.",0.95,"2025-05-30 16:26:20",202,973,NULL
2426,"AI Basics","The Turing Test is a measure of a machine's ability to exhibit intelligent behavior equivalent to, or indistinguishable from, that of a human.","What is the significance of the Turing Test in the field of AI?","The Turing test, proposed by Alan Turing in 1950, is a benchmark for evaluating a machine's ability to exhibit intelligent behavior indistinguishable from a human's in a text-based conversation. Its significance in AI lies in challenging researchers to create systems that can mimic human-like reasoning, language understanding...",answer,NULL,"The Turing test, proposed by Alan Turing in 1950, is a benchmark for evaluating a machine's ability to exhibit intelligent behavior indistinguishable from a human's in a text-based conversation. Its significance in AI lies in challenging researchers to create systems that can mimic human-like reasoning, language understanding...",0.95,"2025-05-30 16:26:56",202,973,NULL
2427,"OOP Basic","A superclass is a class that is inherited from by one or more subclasses.","What is a superclass?","Please repeat.",repeat,NULL,"Please repeat.",0.95,"2025-05-30 16:27:09",202,973,NULL
2428,"Programming Basics","A library is a collection of pre-written code that can be used to perform common tasks in programming.","What is a library in programming?","Move on next question. Move on next question. Move on next question.",next_question,NULL,NULL,0.95,"2025-05-30 16:27:29",204,1113,NULL
2429,"OOP Basic","A superclass is a class that is inherited from by one or more subclasses.","What is a superclass?","A superclass is a parent class in object-oriented programming that other classes, called subclasses, inherit from. It defines common attributes and methods that subclasses can share or override, promoting...",answer,NULL,"A superclass is a parent class in object-oriented programming that other classes, called subclasses, inherit from. It defines common attributes and methods that subclasses can share or override, promoting...",0.95,"2025-05-30 16:27:33",202,973,NULL
2430,"Programming Basics","Scope refers to the visibility and lifetime of variables in a program.","What is a scope in programming?","Please end this interview. End this interview.",end_interview,NULL,"Please end this interview. End this interview.",0.95,"2025-05-30 16:27:42",204,1113,NULL
2431,"Programming Basics","An IDE, or Integrated Development Environment, is a software application that provides comprehensive facilities to programmers for software development.","What is an IDE?","Please repeat again.",repeat,NULL,"Please repeat again.",0.95,"2025-05-30 16:27:45",202,973,NULL
2432,"Programming Basics","An IDE, or Integrated Development Environment, is a software application that provides comprehensive facilities to programmers for software development.","What is an IDE?","An IDE or integrated development environment is a software tool that combines everything you need to write, test and debug code in one place.",answer,NULL,"An IDE or integrated development environment is a software tool that combines everything you need to write, test and debug code in one place.",0.95,"2025-05-30 16:28:06",202,973,NULL
2433,"Data Structures & Algorithms","The average time complexity of inserting an element into a binary search tree is O(log n), where n is the number of elements in the tree.","What is the time complexity of inserting an element into a binary search tree?","The complexity of inserting an element into a binary search tree depends on the tree's structure. On average, it's O log N if the tree is balanced, because you traverse a path from the root to a leaf, roughly having the search space each step. In the worst case, like when the tree's skewed, basically a linked list, it's ON, since you might-",answer,NULL,"The complexity of inserting an element into a binary search tree depends on the tree's structure. On average, it's O log N if the tree is balanced, because you traverse a path from the root to a leaf, roughly having the search space each step. In the worst case, like when the tree's skewed, basically a linked list, it's ON, since you might-",0.95,"2025-05-30 16:28:44",202,973,NULL
2434,"Data Structures & Algorithms","Binary search efficiently locates a target value by repeatedly dividing the search interval in half.","What is the role of a binary search in an ordered list?","Binary search in an ordered list finds a target element by repeatedly dividing the search interval in half, checking the middle element and narrowing down the range based on whether the target is larger or s- Or smaller.",answer,NULL,"Binary search in an ordered list finds a target element by repeatedly dividing the search interval in half, checking the middle element and narrowing down the range based on whether the target is larger or s- Or smaller.",0.95,"2025-05-30 16:29:15",202,973,NULL
2435,"Data Structures & Algorithms","A hash table is a data structure that stores key-value pairs and uses a hash function to compute an index into an array of buckets or slots.","What is a hash table?","A hash table is a data structure that stores key value pairs, using a hash function to map keys to specific array indices for quick look-ups, insertions, and deletions. It typical-",answer,NULL,"A hash table is a data structure that stores key value pairs, using a hash function to map keys to specific array indices for quick look-ups, insertions, and deletions. It typical-",0.95,"2025-05-30 16:29:40",202,973,NULL
2436,"AI Basics","Challenges include data quality, lack of skilled personnel, and ethical concerns.","What are the main challenges of implementing AI in real-world applications?","Implementing AI in real world applications comes with several big hurdles. First, data quality and availability. AI needs massive, clean, and diverse datasets, but real world data is often messy, incomplete, or biased, which can skew results. Second, computational costs are huge. Training complex models requires serious hardware like GPUs, and can be expensive and energy-intensive.",answer,NULL,"Implementing AI in real world applications comes with several big hurdles. First, data quality and availability. AI needs massive, clean, and diverse datasets, but real world data is often messy, incomplete, or biased, which can skew results. Second, computational costs are huge. Training complex models requires serious hardware like GPUs, and can be expensive and energy-intensive.",0.95,"2025-05-30 16:30:24",202,973,NULL
2437,"AI Basics","Data is used to train machine learning models and improve their accuracy in making predictions.","What is the role of data in training machine learning models?","Data is the backbone of training machine learning models. It's what the model learns from to make predictions or decisions. It provides the examples that teach the model patterns, relationships, and rules, like labeled images for recognizing objects or historical sales for forecasting. High quality, diverse, and relevant data ensures the model generalizes well to new inputs while poor or biased data can lead to inaccurate or unfair results-",answer,NULL,"Data is the backbone of training machine learning models. It's what the model learns from to make predictions or decisions. It provides the examples that teach the model patterns, relationships, and rules, like labeled images for recognizing objects or historical sales for forecasting. High quality, diverse, and relevant data ensures the model generalizes well to new inputs while poor or biased data can lead to inaccurate or unfair results-",0.95,"2025-05-30 16:31:07",202,973,NULL
2438,"Programming Basics","'Print' outputs text or data to the console or screen.","What does 'print' do in most programming languages?","In most programming languages, the print function outputs data like text numbers or variables to the console or terminal for display. It's mainly used for debugging, showing results or providing feedback during program execution, like printing Hello World in Python with print the Hello World.",answer,NULL,"In most programming languages, the print function outputs data like text numbers or variables to the console or terminal for display. It's mainly used for debugging, showing results or providing feedback during program execution, like printing Hello World in Python with print the Hello World.",0.95,"2025-05-30 16:31:42",202,973,NULL
2439,"Programming Basics","A for loop is a control structure that allows you to repeat a block of code a specific number of times.","What is a for loop?","A for loop is a control structure in programming that repeats a block of code, a specific number of times or over a sequence, like a list or range. It's used to automate repetitive tasks with a counter iterator tracking each cycle, like looping through numbers one to ten to print them in Python with F4I and range one eleven, print I. It's like telling your code to do the same job multiple times, systematically without you rewriting it each time.",answer,NULL,"A for loop is a control structure in programming that repeats a block of code, a specific number of times or over a sequence, like a list or range. It's used to automate repetitive tasks with a counter iterator tracking each cycle, like looping through numbers one to ten to print them in Python with F4I and range one eleven, print I. It's like telling your code to do the same job multiple times, systematically without you rewriting it each time.",0.95,"2025-05-30 16:32:20",202,973,NULL
2440,"OOP Basic","To instantiate a class means to create an object from that class.","What does it mean to instantiate a class?","To instantiate a class means to create a specific instance or object of that class in object-oriented programming. It's like taking a blueprint, the class, and building an actual thing, the object, with its own set of attributes and behaviors.",answer,NULL,"To instantiate a class means to create a specific instance or object of that class in object-oriented programming. It's like taking a blueprint, the class, and building an actual thing, the object, with its own set of attributes and behaviors.",0.98,"2025-05-30 16:32:50",202,973,NULL
2441,"Programming Basics","Comments are used to add notes or explanations within the code for better understanding.","What is the significance of comments in a program?","Comments in a program are non-executable lines of text that explain what the code does, making it easier to understand and maintain. They're like notes in the margins, helping developers and future you grasp the logic, purpose, or tricky parts of the code without affecting how it run.",answer,NULL,"Comments in a program are non-executable lines of text that explain what the code does, making it easier to understand and maintain. They're like notes in the margins, helping developers and future you grasp the logic, purpose, or tricky parts of the code without affecting how it run.",0.98,"2025-05-30 16:33:24",202,973,NULL
2442,"Data Structures & Algorithms","A queue is a linear data structure that follows the First In, First Out (FIFO) principle.","How does a queue data structure work?","Uh, queue the construction will be worked as a waiting for the, um, waiting in to the long queue is one. Uh, access management to create a train depending on the radio.",answer,NULL,"Uh, queue the construction will be worked as a waiting for the, um, waiting in to the long queue is one. Uh, access management to create a train depending on the radio.",0.85,"2025-05-30 16:47:30",205,1052,NULL
2443,"Programming Basics","'Print' outputs text or data to the console or screen.","What does 'print' do in most programming languages?","Ah, can be used for testing purpose. We can print out the existing value or which one we need to test at a particular time period.",answer,NULL,"Ah, can be used for testing purpose. We can print out the existing value or which one we need to test at a particular time period.",0.85,"2025-05-30 16:48:03",205,1052,NULL
2444,"Data Structures & Algorithms","Binary search efficiently locates a target value by repeatedly dividing the search interval in half.","What is the role of a binary search in an ordered list?","I'll take it as a no go.",off_topic,NULL,"I'll take it as a no go.",0.85,"2025-05-30 16:48:22",205,1052,NULL
2445,"Data Structures & Algorithms","Binary search efficiently locates a target value by repeatedly dividing the search interval in half.","What is the role of a binary search in an ordered list?","Next question please.",next_question,NULL,"Next question please.",0.95,"2025-05-30 16:48:42",205,1052,NULL
2446,"Programming Basics","Syntax refers to the set of rules that defines the combinations of symbols that are considered to be correctly structured programs.","What does 'syntax' mean in programming?","Index is using to, uh, uh, initiate, uh, a variable is, uh, fairly slow which made me want, like, a faster...",answer,NULL,"Index is using to, uh, uh, initiate, uh, a variable is, uh, fairly slow which made me want, like, a faster...",0.85,"2025-05-30 16:49:10",205,1052,NULL
2447,"Programming Basics","An array is a collection of items stored at contiguous memory locations, typically of the same data type.","What is an array?","I don't know.",answer,NULL,"I don't know.",0.95,"2025-05-30 16:52:45",205,1052,NULL
2448,"OOP Basic","A reference variable is a variable that holds the address of an object rather than the object itself.","What is a reference variable?","A reference variable used to, uh, refer the variable-",answer,NULL,"A reference variable used to, uh, refer the variable-",0.85,"2025-05-30 16:53:14",205,1052,NULL
2449,"AI Basics","Natural language processing is a field of AI that enables computers to understand, interpret, and generate human language.","Explain the concept of natural language processing.","I don't know.",answer,NULL,"I don't know.",0.95,"2025-05-30 16:53:50",205,1052,NULL
2450,"OOP Basic","A package is a namespace that organizes a set of related classes and interfaces.","What is a package in OOP?","Next question, please.",next_question,NULL,"Next question, please.",0.95,"2025-05-30 16:54:21",205,1052,NULL
2451,"AI Basics","NLP enables computers to understand, interpret, and generate human language.","What is the purpose of natural language processing (NLP) in AI?","Ah, natural language process is, uh, processing is, uh, using to, um, train the model which one need to increase.",answer,NULL,"Ah, natural language process is, uh, processing is, uh, using to, um, train the model which one need to increase.",0.85,"2025-05-30 16:55:00",205,1052,NULL
2452,JavaScript,"A callback function is a function passed into another function as an argument to be executed later.","What is a callback function in JavaScript","Uh, callback function is when we are using a function to, uh, analyze the record and, and it, the callback for a return to the actual position which one we need to, uh, redirect.",answer,NULL,"Uh, callback function is when we are using a function to, uh, analyze the record and, and it, the callback for a return to the actual position which one we need to, uh, redirect.",0.85,"2025-05-30 16:55:38",205,1052,NULL
2453,"AI Basics","Training data is essential in machine learning as it is used to teach the model and enable it to make predictions or decisions.","What is the significance of training data in machine learning?","I don't know. ",answer,NULL,"I don't know.",0.95,"2025-05-30 16:56:04",205,1052,NULL
2454,"Data Structures & Algorithms","A binary tree is a hierarchical data structure in which each node has at most two children, referred to as the left child and the right child.","What is a binary tree?","Binary tree is a, a structure that is called the-- Umm... ",answer,NULL,"Binary tree is a, a structure that is called the-- Umm... ",0.85,"2025-05-30 16:56:37",205,1052,NULL
2455,"OOP Basic","'this' refers to the current object within a method or constructor.","What is the purpose of the 'this' keyword?","Next question...",next_question,NULL,"Next question...",0.95,"2025-05-30 16:56:54",205,1052,NULL
2456,"Programming Basics","A for loop is a control structure that allows you to repeat a block of code a specific number of times.","What is a for loop?","Uh, for loop is a condition that we call to, uh, loop the, uh, uh, loop the, uh, execute and variable when we are using that, uh, particular cond-, uh, particular, uh, con- con- condition. We need to, uh, execute the time.",answer,NULL,"Uh, for loop is a condition that we call to, uh, loop the, uh, uh, loop the, uh, execute and variable when we are using that, uh, particular cond-, uh, particular, uh, con- con- condition. We need to, uh, execute the time.",0.85,"2025-05-30 16:57:54",205,1052,NULL
2457,python,"Python is a high-level, interpreted programming language known for its simplicity, readability, and wide range of applications in areas like web development, data analysis, AI, and automation","What is python",Sorry,repeat,NULL,Sorry,0.85,"2025-06-05 04:58:52",3,1,NULL
2458,python,"Python is a high-level, interpreted programming language known for its simplicity, readability, and wide range of applications in areas like web development, data analysis, AI, and automation","What is python","explain please",explanation,NULL,"explain please",0.85,"2025-06-05 04:59:07",3,1,NULL
2459,python,"Python is a high-level, interpreted programming language known for its simplicity, readability, and wide range of applications in areas like web development, data analysis, AI, and automation","What is python","explain please",explanation,NULL,"explain please",0.85,"2025-06-05 06:25:04",3,1,NULL
2460,python,"Python is a high-level, interpreted programming language known for its simplicity, readability, and wide range of applications in areas like web development, data analysis, AI, and automation","What is python",explain,off_topic,NULL,explain,0.85,"2025-06-05 06:25:13",3,1,NULL
